fips,black
48453,7.8
48455,9.9
48457,10.6
48461,5.8
48463,0.3
48465,1.2
48469,5.6
48471,23
48473,24.7
48475,4
48477,16.3
48479,0.2
48481,13.5
48489,0.5
48491,6.1
48493,1.2
48495,2.2
48505,0
48507,0.3
5007,1.6
5033,1.3
5047,0.9
5057,29.9
5061,20.8
5081,21.9
5083,1.3
5087,0
5091,24.6
5113,0.4
5127,0.2
5131,6.7
5133,4.7
5143,3.5
8001,3.2
8003,0.4
8005,10.4
8009,0.9
8011,3.6
8013,0.8
8014,1.1
8015,1.6
8017,0
8019,1
8021,0.4
8023,0.3
8025,3.5
8027,2.8
8031,8.8
8035,1.3
8037,1.1
8039,0.3
8041,5.9
8043,4.4
8047,0.3
8049,1
8055,0.1
8057,0
8059,1
8061,0.4
8063,2.4
8065,0.1
8069,0.9
8071,0.7
8073,8
8075,0.8
8087,3.6
8089,0.6
8093,0.1
8095,0.1
8099,0.7
8101,1.5
8105,0.5
8109,0.5
8115,0.8
8117,1
8119,0.8
8121,0.9
8123,1.1
8125,0.4
19001,0.5
19003,0
19009,0
19015,0.6
19021,2.5
19025,1.5
19027,0
19029,0.1
19035,2
19039,0
19041,0.2
19047,2.7
19049,1.8
19053,1.7
19059,0.4
19063,1.9
19071,0.7
19073,0.4
19077,0.3
19079,1.3
19081,1.5
19085,0.1
19091,0.3
19093,0.6
19109,0.7
19119,0
19121,0.2
19129,0.6
19133,0.3
19137,0.1
19141,1.1
19143,1.2
19145,1.9
19147,2.3
19149,0.9
19151,0.5
19155,1.6
19159,0
19161,0.7
19165,0.7
19167,0.3
19173,0
19175,0.5
19187,4.6
19189,1.6
19193,3.2
19197,0.3
20001,0.9
20003,0.4
20005,2.8
20007,0.8
20009,1
20011,2.8
20013,0.6
20015,2.3
20017,1.6
20019,0.5
20021,0.5
20023,0
20025,0.3
20027,0.8
20029,1.8
20031,0.7
20033,0
20035,2.8
20037,2.1
20039,0.5
20041,1.3
20043,5.8
20045,4.1
20047,0.3
20049,0.3
20051,1
20053,3.1
20055,2.7
20057,1.9
20059,0.7
20061,17.6
20063,0.1
20065,4.1
20067,0
20069,0
20071,0
20073,0.2
20075,1.8
20077,0.1
20079,1.5
20081,0
20083,0
20085,0.2
20087,0.7
20089,0.3
20091,4.5
20093,0.3
20095,0.4
20097,0.6
20099,4.7
20101,0
20103,8.1
20105,0.1
20107,0.5
20109,0
20111,2.2
20113,1
20115,0.7
20117,0.3
20119,0.6
20121,1.4
20123,0.7
20125,4.9
20127,0.1
20129,0.7
20131,0.7
20133,1.2
20135,0.5
20137,2.7
20139,0.5
20141,0.4
20143,0.9
20145,4.4
20147,0.6
20149,1.3
20151,2.5
20153,0.6
20155,2.7
20157,1.1
20159,1.6
20161,6
20163,1.7
20165,0.1
20167,2.3
20169,2.7
20171,0
20173,8.5
20175,4.5
20177,8.3
20179,0.9
20181,0.7
20183,0.3
20185,0.2
20187,0
20189,0.7
20191,0.9
20193,2.1
20195,0.1
20197,0.5
20199,0.1
20201,0.1
20203,0.9
20205,0.4
20207,0.4
20209,21.7
22017,48.9
27013,3.8
27015,0.6
27033,0.8
27043,0.2
27063,0.3
27079,0.8
27081,0.4
27083,3.3
27091,0.4
27101,0.3
27103,2.7
27105,3.9
27117,0.4
27127,0.7
27133,0.9
27143,1
27165,0.8
29003,1.3
29005,0.4
29009,0.2
29011,0.2
29013,1.5
29021,5.1
29025,0.5
29037,3.9
29039,0
29047,5.9
29049,1.5
29057,0.3
29061,0.6
29063,8.9
29075,0.5
29081,0.5
29083,1.2
29087,1
29095,23.1
29097,1.8
29101,4.2
29107,2.1
29109,0.4
29119,1.8
29145,0.8
29147,2.7
29165,6.6
29177,1.3
29185,0.7
29217,0.5
29227,0.5
31001,0.5
31003,0.9
31005,0
31007,0
31009,0
31011,0.3
31013,1.3
31015,0.5
31017,0
31019,0.8
31021,0.4
31023,0.1
31025,0.3
31027,0.1
31029,0
31031,0
31033,0.8
31035,0.2
31037,3.7
31039,0.1
31041,0.1
31043,5
31045,3.9
31047,6.1
31049,0.1
31051,0.4
31053,0.7
31055,10.9
31057,0.2
31059,0.3
31061,0.5
31063,0.5
31065,0.1
31067,0.6
31069,0.1
31071,0.3
31073,0.2
31075,0.8
31077,0.4
31079,2.4
31081,0.1
31083,0.5
31085,0
31087,0
31089,0.1
31091,1
31093,0.1
31095,0.6
31097,6
31099,0.1
31101,1.2
31103,0
31105,0
31107,0.4
31109,3.8
31111,1.2
31113,0
31115,0
31117,0
31119,1.2
31121,0.4
31123,0.7
31125,0.3
31127,1.4
31129,0.1
31131,0.4
31133,0.1
31135,0.1
31137,0.3
31139,0.2
31141,0.5
31143,0
31145,0.6
31147,0.2
31149,1.4
31151,2.2
31153,3.6
31155,0.4
31157,0.7
31159,0.5
31161,2
31163,0.1
31165,0.4
31167,1.4
31169,0.4
31171,0
31173,0.1
31175,0.4
31177,0.8
31179,1.4
31181,0.2
31183,0
31185,1.5
35001,2.4
35005,1.4
35007,0.6
35009,4.9
35011,1.5
35015,1.4
35019,0.5
35021,0
35025,3.3
35027,0.5
35028,0.5
35033,0
35035,3.2
35037,1.6
35039,0.4
35041,2.4
35047,0.9
35049,0.8
35055,0.1
35057,0.7
35059,1.4
40001,0.1
40003,3
40005,3.5
40007,0.5
40009,4.2
40011,3.9
40013,1.7
40015,2.2
40017,2.7
40019,6.5
40021,1.3
40023,10.8
40025,0.1
40027,4.6
40029,0.1
40031,15.5
40033,2.2
40035,3
40037,2.1
40039,3
40041,0.4
40043,0.1
40045,0.1
40047,2.3
40049,2.1
40051,2.3
40053,0.9
40055,6.3
40057,9.3
40059,0
40061,0.7
40063,5.6
40065,6.5
40067,1.3
40069,1.8
40071,2
40073,1.2
40075,3.3
40077,1
40079,1.8
40081,1.8
40083,8.1
40085,2.6
40087,1
40089,7.8
40091,2.6
40093,0.4
40095,1.7
40097,0.4
40099,1.5
40101,10.4
40103,0.2
40105,2.4
40107,7.3
40109,14.7
40111,8
40113,11.1
40115,1
40117,0.9
40119,3.9
40121,2.8
40123,2.4
40125,3.3
40127,0.7
40129,0.2
40131,0.9
40133,4.6
40135,1.7
40137,1.7
40139,2.4
40141,7.4
40143,9.9
40145,3.4
40147,2.6
40149,1.2
40151,2.7
40153,1.2
46003,1.6
46005,1.1
46007,0
46009,1.4
46011,1.3
46015,0.4
46017,0.1
46023,0
46027,1.6
46033,0.2
46035,1.3
46043,0
46047,0
46053,0
46055,0
46059,0.1
46061,0
46065,0.1
46067,0
46069,2.4
46071,0.3
46073,0
46075,1.1
46077,0
46079,0.3
46081,0.8
46083,1.3
46085,0.1
46087,0.7
46093,1.8
46095,0.1
46097,0.2
46099,5.6
46101,0.4
46103,1.1
46111,0
46102,0
46117,0
46121,0
46123,0
46125,0.4
46127,0.8
46135,1.5
48003,0.6
48009,0.8
48011,0.2
48017,0.4
48023,3
48033,0
48037,24.3
48045,0.8
48059,0.9
48063,15.8
48065,0.7
48067,17
48069,2.1
48075,8
48077,0.4
48079,3.8
48085,9.6
48087,8.3
48097,2.7
48101,14.4
48107,3.1
48111,0.7
48113,22.2
48115,7.6
48117,0.6
48119,8.7
48121,9.5
48125,2.6
48129,5.4
48133,2.8
48139,9.7
48143,1.8
48147,5.6
48151,2.6
48153,2.8
48155,2.2
48159,4.3
48165,2.1
48169,5.6
48179,4.3
48181,5.2
48183,19.7
48189,4.5
48191,6.1
48195,0
48197,5.8
48203,20.6
48205,7.4
48207,3.7
48211,0.9
48213,6.3
48219,3.1
48221,0.7
48223,7
48227,5.1
48231,7.8
48233,1.4
48237,4.7
48251,3.4
48253,13.9
48257,11.7
48263,0.9
48269,0
48275,4.6
48277,12.7
48279,2.9
48295,0.5
48303,6.6
48305,0.7
48315,22.9
48317,0.8
48335,9
48337,0.6
48341,3.2
48343,23
48345,1.5
48353,5.5
48357,0
48359,3
48363,2.5
48365,17.2
48367,1.2
48369,1.1
48375,9.7
48379,3.5
48381,2.5
48387,16.7
48393,0
48397,6.2
48401,16.7
48415,4.6
48417,0.2
48421,1.1
48423,17.2
48425,1.1
48429,2.8
48433,2
48437,5.8
48439,16.1
48441,7.7
48445,4.6
48447,0.9
48449,8.9
48459,8.1
48467,2.8
48483,2.9
48485,9.9
48487,9.5
48497,1.2
48499,4.9
48501,0.4
48503,2.1
56001,1.4
56005,0.3
56009,0
56011,0.1
56015,0.3
56019,0.5
56021,1.9
56027,0.5
56031,0
56045,0.2
16003,0.3
16009,0
16017,0.2
16021,0.5
16035,0.5
16049,0.1
16055,0.2
16057,1.1
16059,0
16061,0.1
16069,0.3
16079,0.3
16085,0
27005,0.4
27007,1
27009,3.9
27011,0
27019,1.7
27021,0.4
27023,0.8
27027,3.6
27029,0.1
27035,0.7
27041,0.3
27051,0.2
27057,0.5
27061,0.4
27067,5.3
27069,1.4
27071,0.5
27073,0.7
27077,0
27085,0.5
27087,0.5
27089,0.3
27093,0.4
27097,0.5
27107,0.9
27111,1.3
27113,1
27119,2.1
27121,0.4
27125,0.4
27129,0.3
27135,0.8
27141,2.4
27145,6.4
27149,1.3
27151,2
27153,0.6
27155,0.5
27159,0.6
27167,0.3
27171,1.4
27173,0.6
30001,0
30003,0
30005,0.4
30007,0
30009,0.4
30011,0
30013,1.2
30015,0.2
30017,0.6
30019,0
30021,0.7
30023,0.7
30025,0
30027,0.1
30029,0.3
30031,0.3
30033,0.6
30035,0.2
30037,0
30039,0
30041,0.3
30043,0.3
30045,0
30047,0.2
30049,0.2
30051,0
30053,0.2
30055,0
30057,0
30059,0
30061,0.7
30063,0.6
30065,0
30067,0.4
30069,0
30071,0
30073,0.1
30075,0
30077,0.9
30079,0
30081,0.1
30083,0
30085,0.2
30087,0.1
30089,0.3
30091,0
30093,0.5
30095,0
30097,0
30099,0.5
30101,0.4
30103,0
30105,0.3
30107,0
30109,0
30111,0.4
38001,2
38003,2.2
38005,0
38007,0
38009,0.5
38011,0
38013,0.2
38015,2.2
38017,5.5
38019,0
38021,1.3
38023,3.1
38025,1.7
38027,0
38029,0
38031,0
38033,0
38035,3.6
38037,0
38039,0
38041,0.3
38043,0.2
38045,0.6
38047,0
38049,0.3
38051,0.5
38053,1.6
38055,0.6
38057,0.8
38059,0.9
38061,1.4
38063,0
38065,0
38067,0.3
38069,0.6
38071,0.1
38073,0.8
38075,0.2
38077,0.6
38079,0.6
38081,2.3
38083,0
38085,0.1
38087,1.7
38089,1.9
38091,0.7
38093,1.4
38095,0.7
38097,1
38099,0.4
38101,3.7
38103,0
38105,4.4
41001,0.9
41049,0.2
41059,0.9
41061,0.6
41063,0.1
46013,2.1
46019,0.6
46021,0
46025,0
46029,0.7
46031,0.3
46037,0
46039,0
46041,0
46045,0.1
46049,0
46051,0.4
46057,0.4
46063,2
46089,2
46091,0.6
46105,0
46107,0
46109,0.6
46115,0.2
46119,0
46129,5
46137,0
53001,0.4
53003,0.5
53005,1.4
53013,0.9
53017,0.4
53019,0.1
53021,1.8
53023,0
53025,0.8
53043,0.7
53051,0.3
53063,1.6
53065,0.4
53071,1.7
53075,2.1
56033,0.2
1003,9.1
1005,47.4
1011,74.8
1013,45
1023,42.5
1025,45.7
1031,16.8
1035,47.7
1039,13.3
1041,23.1
1045,19.7
1053,31.9
1061,9.4
1067,26.5
1069,26.7
1097,35.5
1099,42.3
1109,36.5
1129,23.5
1131,69.3
12001,19.8
12003,13.3
12005,10.8
12007,20.1
12009,9.2
12013,12.9
12015,5.3
12017,2.8
12019,10.2
12021,6.6
12023,17.7
12027,12.5
12029,8.7
12031,29.1
12033,21.7
12035,9.9
12037,13.7
12039,55.7
12041,5.6
12043,12.9
12045,16.5
12047,33.6
12049,7.4
12051,11
12053,4.8
12055,9.3
12057,15.5
12059,6.8
12061,8.8
12063,26.5
12065,34.3
12067,15.8
12069,10.1
12071,8.1
12073,30.5
12075,8.6
12077,15.6
12079,38.2
12081,8.5
12083,12.4
12087,6.7
12089,5.9
12091,9.4
12093,7.6
12095,19.7
12097,9.2
12101,5.3
12103,9.9
12105,14.6
12107,16
12109,5.2
12113,6
12115,4.3
12117,10.9
12119,6.7
12121,12.7
12123,19.8
12125,21.7
12127,10.4
12129,14.9
12131,4.6
12133,14.9
13001,19.2
13003,17.4
13005,15.1
13007,39.6
13017,36.6
13019,10.5
13025,3.3
13027,35.8
13029,13.8
13037,60.3
13039,18.6
13049,25.8
13051,39.4
13061,62.3
13065,28.4
13069,28.4
13071,23.1
13075,26.9
13081,45.5
13087,42
13095,69.3
13099,52.2
13101,1.9
13127,26
13131,28.8
13155,28.2
13161,16.4
13173,24.3
13177,20.7
13179,40.1
13183,24.8
13185,36.3
13191,35.4
13201,30.3
13205,46.3
13229,9.3
13239,51.9
13243,62.3
13253,32.8
13259,52.4
13261,52.1
13267,29.1
13271,38.4
13273,58.1
13275,36.2
13277,29.4
13287,40.2
13299,29.8
13305,20.2
13307,37.2
13309,43.3
13315,35.4
13321,28
22001,17.3
22003,18.4
22005,21.7
22007,29.9
22009,26.7
22011,12.3
22019,24.8
22021,16.3
22023,3.3
22025,31.5
22029,41
22033,45.9
22037,43.2
22039,27.1
22043,15.8
22045,31.5
22047,48
22051,26.3
22053,16.3
22055,25.8
22057,13.5
22059,11
22063,5.8
22069,41
22071,58.8
22075,19.9
22077,35.7
22079,31.4
22081,39.1
22085,15.9
22087,22.7
22089,26.3
22091,52.5
22093,49.5
22095,56.1
22097,41.4
22099,29
22101,30.2
22103,11.9
22105,29.3
22107,55.3
22109,18.9
22113,14.4
22115,14.3
22117,30.1
22121,39.7
22125,44.4
22127,31.5
28001,56.1
28005,41.9
28021,87.2
28023,35.4
28029,51.5
28031,36.6
28035,37.1
28037,35.9
28039,8
28041,25.9
28045,8
28047,24.6
28059,20.9
28061,53.8
28063,78.9
28065,61.2
28067,29.3
28073,20
28077,32.5
28085,31.8
28091,32.5
28109,12.7
28111,19.8
28113,54
28127,36.6
28129,22.9
28131,18.1
28147,46.3
28153,41
28157,70.9
1007,22.1
1033,16
1057,11.1
1059,4.2
1063,79.4
1065,59.3
1075,10.6
1077,10.1
1079,10.5
1091,53.5
1093,3.4
1105,69.3
1107,39.8
1119,71.9
1125,31.8
1127,6.1
1133,0.7
5001,25.8
5003,25.2
5005,0.1
5009,0.3
5011,28.8
5013,21.4
5015,0.5
5017,53.8
5019,24.2
5021,0.6
5023,0.3
5025,12.7
5027,35.9
5029,10.2
5031,14.4
5035,47.8
5037,18.6
5039,43.2
5041,46.5
5043,28.6
5045,11.3
5049,0.4
5051,8.1
5053,2.5
5055,1.9
5059,11.3
5063,1.8
5065,1.8
5067,12.2
5069,56.4
5071,1.5
5073,35.7
5075,1.1
5077,55.3
5079,30.5
5085,5.6
5089,0.4
5093,33.7
5095,42.9
5097,0.2
5099,34.5
5101,0
5103,41.4
5105,0.5
5107,63.1
5109,4
5111,4.5
5115,2.9
5117,12.4
5119,36.6
5121,1
5123,53.1
5125,7
5129,0.6
5135,0.7
5137,0
5139,32.6
5141,0.4
5145,4.2
5147,28.1
5149,2
17003,33.4
17055,0.7
17059,0.5
17065,0.4
17069,2.7
17077,14.9
17081,8.3
17087,11
17127,5.8
17133,0.1
17145,9
17151,4.2
17153,30.2
17157,10
17165,2.6
17181,1.6
17189,0.8
17193,0.6
17199,4
18051,2.1
18129,1.4
18163,9.5
18173,1.6
21007,4
21033,6.2
21035,3.4
21039,0.7
21047,21.5
21055,0.7
21075,24
21083,4
21101,7.2
21105,8.3
21107,6.4
21139,0.4
21143,5.6
21145,10.4
21149,1.2
21157,0.9
21219,8.1
21221,7.4
21225,13.1
21233,3.3
22013,43.1
22015,22.6
22027,51.9
22035,69.6
22041,33.8
22049,29.7
22061,40.5
22065,63.5
22067,49
22073,37.3
22083,35.7
22111,24.7
22119,33.9
22123,16.1
28003,11.9
28007,42.2
28009,34
28011,64
28013,27.3
28015,34.6
28017,44.2
28019,30.9
28025,59.9
28027,77.5
28033,27.1
28043,43.3
28049,72.3
28051,83.9
28053,75.6
28055,61.6
28057,7.1
28069,61.6
28071,23.4
28075,43.6
28079,41.6
28081,29.3
28083,74.2
28087,43.7
28089,37.9
28093,47.7
28095,31.1
28097,44
28099,20.9
28101,30.4
28103,72.1
28105,36.9
28107,48.3
28115,15.4
28117,10
28119,72
28121,20.7
28123,37.9
28125,74.5
28133,73.8
28135,53.5
28137,29.8
28139,16.5
28141,2.6
28143,78.3
28145,15.4
28149,49.3
28151,71.9
28155,20.4
28159,46.5
28161,39.6
28163,59.1
29015,0.2
29017,0.4
29023,5.5
29029,0.7
29031,7.3
29035,0
29043,0.6
29055,0.3
29059,0
29065,0.4
29067,0.2
29069,10.2
29077,3.2
29085,0
29091,0.2
29093,1.1
29099,0.9
29105,0.5
29123,0.7
29125,0.2
29131,0.2
29133,24.4
29143,15.3
29149,0.1
29153,0
29155,27.1
29157,0.5
29161,2.2
29167,0.9
29169,10.6
29179,2
29181,0.6
29186,1.9
29187,4.3
29201,11.6
29203,0.1
29207,1.4
29209,0.2
29213,1.3
29215,2.1
29221,2.1
29223,0.5
29225,0.9
29229,0.5
47005,3
47017,10.1
47023,8.9
47033,12.9
47039,4.4
47043,4.1
47045,12.6
47047,27.2
47053,17.1
47069,41.7
47071,3.8
47075,50.7
47077,7.8
47079,8.1
47081,5.2
47083,5.4
47085,2
47095,28.3
47097,33.7
47099,1.6
47101,1.8
47109,5.5
47113,36.9
47125,19.2
47131,10.2
47135,2.7
47157,53.4
47161,0.9
47167,18.3
47181,6.8
47183,8.4
17001,4
17005,7.5
17007,2
17009,18.8
17011,1
17013,0.3
17015,1.2
17017,4.3
17019,13.3
17021,1.3
17023,0.6
17025,0.8
17027,3.4
17029,3.8
17031,23
17033,6.4
17035,0
17037,7.7
17039,0.5
17041,0.6
17043,4.6
17045,0.1
17047,0.7
17049,0.5
17051,4.6
17053,1.1
17057,3.7
17061,1.3
17063,1.1
17067,0.6
17071,0.1
17073,1.9
17075,0.8
17079,0.4
17083,0.4
17085,0.5
17089,5.2
17091,15.1
17093,6.9
17095,8.4
17097,6.5
17099,2.5
17101,8.2
17103,5.4
17105,4.1
17107,6.8
17109,4.6
17111,1.3
17113,8.2
17115,14.6
17117,0.9
17119,8.5
17121,3.6
17123,0.2
17125,0.7
17129,0.4
17131,0.6
17135,3.7
17137,6.7
17139,0.7
17141,1
17143,17.6
17147,0.5
17149,1.1
17155,0.5
17159,0.7
17161,9.8
17163,29.8
17167,12.6
17169,8.7
17171,0.1
17173,0.6
17175,0.9
17177,9.6
17179,1.2
17183,13.9
17185,0.6
17187,2.9
17191,1.5
17195,1.5
17197,11.1
17201,12.5
17203,0.6
18007,0.4
18045,0.2
18083,2.7
18089,23.3
18111,0.2
18121,0.5
18125,0.8
18153,3.8
18165,1.1
18167,6.6
18171,0.5
19005,1.2
19007,0.7
19011,0.5
19013,9.3
19017,0.8
19019,0.1
19023,1
19031,1.4
19033,1.7
19037,0.9
19043,0.9
19045,2.7
19051,0
19055,0.2
19057,5.6
19061,3.5
19065,2.1
19067,1.7
19069,0.2
19075,0.6
19083,1.2
19087,2.2
19089,0.3
19095,0.7
19097,0.4
19099,1.9
19101,7.1
19103,7.2
19105,2.1
19107,0.4
19111,2.7
19113,5.3
19115,1
19117,0
19123,1.3
19125,1
19127,1.1
19131,0.3
19135,0
19139,2.4
19153,6.5
19157,1.9
19163,7.4
19169,2.2
19171,0.9
19177,0.4
19179,3.3
19181,0.4
19183,0.7
19185,0.2
19191,1.5
19195,1.5
27039,0.3
27045,0.5
27047,0.9
27049,1.3
27055,1.2
27099,3.9
27109,5.9
27131,5.6
27147,3.1
27157,0.5
27161,2.3
27169,1.2
29001,2.6
29007,5.7
29019,8.9
29027,4.3
29033,1.4
29041,2.5
29045,0.3
29051,11.6
29053,5.6
29071,0.7
29073,0.4
29079,0.2
29089,5.8
29103,0.4
29111,4.2
29113,1.9
29115,0.4
29117,2.5
29121,1.9
29127,3.7
29129,0.5
29135,2.7
29137,3.3
29139,1.4
29141,0.8
29151,0.1
29159,3.5
29163,7.2
29171,0.1
29173,1.2
29175,5.7
29183,4.3
29189,24
29195,4.7
29197,0.4
29199,0
29205,1.6
29211,2.2
29219,1.9
29510,46.2
55001,2.7
55009,2.3
55011,0.7
55015,0.8
55021,1.3
55023,1.9
55025,5
55027,2.7
55039,1.4
55043,1.4
55045,0.5
55047,0.5
55049,0.8
55053,2
55055,0.7
55057,2.2
55059,7.2
55061,0.7
55063,1.5
55065,0.6
55071,0.9
55077,0.6
55079,26
55081,1.7
55087,1.3
55089,1.2
55091,0.2
55097,0.7
55101,11
55103,0.8
55105,4.3
55111,0.8
55117,1.9
55121,0.5
55123,0.3
55127,0.8
55131,1.3
55133,1.5
55135,0.5
55137,1.4
55139,2.2
55141,0.7
1001,19
1009,1.5
1015,20.6
1017,39.5
1019,4.5
1021,9.1
1027,15.5
1029,2.7
1037,33.6
1043,1.2
1047,70.4
1049,1.4
1051,21.2
1055,15.4
1071,3.4
1073,42.8
1081,22.7
1083,13.5
1085,74.3
1087,82.5
1089,24
1095,2.6
1101,57.7
1103,12.6
1111,19.6
1113,43.4
1115,9.5
1117,12
1121,32.3
1123,26.9
13015,10.3
13035,28.9
13045,19
13047,2
13053,19.8
13055,10.3
13057,6.7
13063,68.3
13067,26.7
13077,17.6
13079,21.9
13083,0.6
13085,1
13089,53.4
13097,45.9
13111,0.2
13113,22.5
13115,13.8
13117,3.3
13121,43.6
13123,0.4
13129,3.7
13135,27
13143,5
13145,16
13149,8.7
13151,43.4
13171,29.3
13187,2
13193,61.4
13197,30.4
13199,39.7
13207,23.2
13213,1
13215,45.6
13223,18.4
13227,1
13231,8.9
13233,11.9
13247,53.7
13249,25.1
13255,34
13263,57.7
13269,37.9
13285,36.1
13291,0.7
13293,27.1
13295,4.1
13313,3.7
18025,0.3
18037,0.6
18043,5
18061,0.5
18123,2.8
18147,0.6
21001,3
21003,0.9
21005,2.7
21009,3.4
21017,6.9
21021,7.9
21027,1.7
21029,1
21031,0.5
21045,0.7
21049,4.5
21053,0.3
21057,2
21059,4.3
21061,1.4
21065,0.1
21067,14.4
21073,9.3
21079,1.9
21085,1.1
21087,2.5
21091,0.8
21093,11.2
21099,4
21109,0.3
21111,21.4
21113,4.5
21123,3.3
21125,0.7
21137,1.9
21141,6.6
21147,5.6
21151,4
21155,7.2
21163,3.5
21167,4.1
21169,1.5
21171,2.4
21173,2.7
21177,4.2
21179,5
