fips,asian
48047,0
48049,0.7
48051,0
48053,0.9
48055,1
48057,5.2
48061,0.6
48071,1.1
48073,0.5
48081,0
48083,0.5
48089,0
48091,1.1
48093,0.6
48095,0.3
48099,2.6
48103,1.9
48105,0
48109,0.5
48123,0
48127,1.4
48131,0
48135,1.1
48137,0
48141,1.2
48145,0.4
48149,0.4
48157,20
48161,0.4
48163,0.8
48167,3.2
48171,0.1
48173,0
48175,0.7
48177,0.3
48185,0.1
48187,1.7
48193,0
48199,0.6
48201,6.9
48209,1.5
48215,0.9
48217,0.5
48225,0.3
48229,0.7
48235,0
48239,1.1
48241,0.5
48243,0
48245,3.7
48247,0
48249,0.6
48255,1
48259,1
48261,0
48265,0.8
48267,0
48271,0
48273,2.2
48281,1.4
48283,0.1
48285,0.4
48287,0.9
48289,1.1
48291,0.5
48293,1
48297,1.4
48299,0.2
48301,0
48307,0.7
48309,1.6
48311,0
48313,3.4
48319,2.4
48321,2.2
48323,0.5
48325,0.7
48327,0
48329,1.9
48331,0.5
48333,0.2
48339,2.9
48347,1.4
48349,2
48351,0.5
48355,2
48361,1.1
48371,0.7
48373,0.9
48377,1.3
48383,0.1
48385,0
48389,1.4
48391,0.2
48395,0.2
48399,0.1
48403,0.3
48405,0
48407,0
48409,1
48411,0.1
48413,0.3
48419,0.4
48427,0
48431,0
48435,0.1
48443,0
48451,1.2
48453,6.6
48455,0
48457,0.3
48461,0.7
48463,0.9
48465,0.7
48469,1.1
48471,1.2
48473,0.9
48475,0.9
48477,1.7
48479,0.4
48481,0.3
48489,0
48491,6.8
48493,0.3
48495,0
48505,0.7
48507,0
5007,4.4
5033,1.8
5047,1
5057,0.4
5061,0.3
5081,0.3
5083,2.1
5087,1.7
5091,0.4
5113,0.2
5127,0.7
5131,4.4
5133,0.9
5143,4.6
8001,3.9
8003,1.3
8005,6.1
8009,0
8011,0.2
8013,4.7
8014,6.4
8015,1.4
8017,2.3
8019,1.1
8021,0.4
8023,1.2
8025,0.5
8027,0
8031,3.7
8035,4.8
8037,0.7
8039,0.8
8041,3
8043,0.6
8047,0
8049,1.5
8055,0
8057,0
8059,2.8
8061,0
8063,0.4
8065,0.8
8069,2.2
8071,0.9
8073,0.6
8075,1.7
8087,0.7
8089,0.9
8093,0.6
8095,0.5
8099,0.5
8101,0.7
8105,0.1
8109,0
8115,0.9
8117,0.7
8119,0.8
8121,0.6
8123,1.6
8125,0
19001,0.5
19003,0.2
19009,0.2
19015,0.7
19021,11.3
19025,0.3
19027,0.2
19029,0.4
19035,0.7
19039,0.7
19041,0.6
19047,2.2
19049,4.5
19053,0.6
19059,0.8
19063,0.2
19071,0
19073,0.7
19077,0.2
19079,3.2
19081,0.3
19085,0.5
19091,0.3
19093,0.2
19109,0.5
19119,0.5
19121,1.2
19129,0.4
19133,0.4
19137,0.1
19141,0.9
19143,0.1
19145,0.9
19147,0.3
19149,0.6
19151,2
19155,0.7
19159,0.9
19161,0.4
19165,0.1
19167,0.7
19173,1
19175,1.5
19187,1.3
19189,1.2
19193,3
19197,0.5
20001,0.9
20003,0
20005,0.4
20007,1.6
20009,0.4
20011,0.7
20013,0.6
20015,1.2
20017,0
20019,0.3
20021,0.8
20023,0
20025,1.1
20027,0.5
20029,0
20031,0
20033,0
20035,1.6
20037,1.8
20039,0.3
20041,0.5
20043,0
20045,5.2
20047,0.7
20049,0.4
20051,1.4
20053,1.2
20055,3.9
20057,1.4
20059,0.3
20061,3.9
20063,0.5
20065,1.7
20067,0.4
20069,0.4
20071,0
20073,0.1
20075,0
20077,0.5
20079,0.8
20081,0.1
20083,1.9
20085,0.6
20087,0
20089,0.3
20091,5
20093,0.3
20095,0
20097,0.7
20099,0.1
20101,1.4
20103,1.5
20105,0
20107,0.5
20109,0
20111,2
20113,0.6
20115,0.2
20117,0.6
20119,0.7
20121,0.5
20123,0.2
20125,1.1
20127,0.4
20129,0.6
20131,0.1
20133,0
20135,0.3
20137,0.4
20139,0.1
20141,0
20143,0.6
20145,0
20147,0.6
20149,0.7
20151,0.1
20153,0.1
20155,0.5
20157,0.2
20159,0.9
20161,5
20163,0.2
20165,0.5
20167,0.3
20169,2.2
20171,1.3
20173,4.3
20175,2.6
20177,1.5
20179,0
20181,0.9
20183,0.7
20185,0
20187,0
20189,0.3
20191,0.6
20193,0.9
20195,1.6
20197,1.3
20199,0.3
20201,0.1
20203,0.6
20205,0
20207,0
20209,4.7
22017,1.3
27013,2.1
27015,0.6
27033,3.9
27043,0.3
27063,2
27079,0.4
27081,0.1
27083,4.3
27091,0.5
27101,1.5
27103,1.7
27105,6.6
27117,0.1
27127,2.6
27133,1
27143,0.7
27165,1.1
29003,0.1
29005,0.4
29009,1.2
29011,0.1
29013,0.4
29021,1.3
29025,0.4
29037,0.8
29039,0.2
29047,2.3
29049,0.7
29057,0.8
29061,0.2
29063,0.8
29075,0.6
29081,0.2
29083,0.4
29087,0.6
29095,2.1
29097,1.2
29101,1.9
29107,0.7
29109,0.1
29119,3.7
29145,2.4
29147,1.4
29165,3.1
29177,0.1
29185,0.3
29217,0.7
29227,0.1
31001,1.2
31003,0.2
31005,0
31007,1.3
31009,0
31011,0.6
31013,1
31015,0.9
31017,0.4
31019,1.3
31021,0.7
31023,0.3
31025,0.4
31027,0
31029,0.2
31031,0.6
31033,0.7
31035,0
31037,0.9
31039,0.4
31041,0.7
31043,3.2
31045,0.6
31047,0.8
31049,0.6
31051,0.3
31053,0.5
31055,3.8
31057,0
31059,0.5
31061,0.3
31063,0
31065,0.2
31067,0.6
31069,0.1
31071,0.1
31073,0.6
31075,0
31077,0.1
31079,1.3
31081,0.4
31083,0.2
31085,0
31087,0
31089,0.5
31091,0
31093,0.2
31095,0.2
31097,1.5
31099,0.4
31101,0.8
31103,0
31105,0.3
31107,0.3
31109,4.2
31111,0.8
31113,0
31115,0
31117,0
31119,1.7
31121,0.4
31123,0.4
31125,0
31127,0.7
31129,1.8
31131,0.3
31133,0
31135,0
31137,0.1
31139,0.7
31141,0.7
31143,0
31145,0
31147,0
31149,0
31151,1.9
31153,2.6
31155,0.4
31157,0.6
31159,0.4
31161,0.8
31163,0.3
31165,0
31167,0.4
31169,0
31171,0
31173,0.8
31175,0
31177,0.3
31179,0.4
31181,0.2
31183,0.2
31185,0.4
35001,2.5
35005,0.9
35007,0.4
35009,1.5
35011,0
35015,0.4
35019,0.2
35021,0.6
35025,0.5
35027,0
35028,4.9
35033,0
35035,1.3
35037,0.7
35039,0.5
35041,0.5
35047,0.9
35049,1.2
35055,0.7
35057,0.1
35059,0
40001,1
40003,0
40005,0.7
40007,0
40009,0.4
40011,0
40013,0.7
40015,0.4
40017,2.9
40019,1.2
40021,1
40023,0.2
40025,0.2
40027,4.4
40029,0.4
40031,2.7
40033,0
40035,0.9
40037,0.4
40039,1.1
40041,1.3
40043,0.1
40045,0.6
40047,4.2
40049,0.3
40051,0.4
40053,0.2
40055,0
40057,0.7
40059,0
40061,0.7
40063,0.1
40065,1.2
40067,0
40069,0
40071,0.4
40073,0.3
40075,0.7
40077,0.9
40079,0.6
40081,0.3
40083,0.3
40085,0.8
40087,0.3
40089,1.9
40091,0.1
40093,0.9
40095,0.2
40097,0.7
40099,0.6
40101,0.7
40103,0.1
40105,0.3
40107,0
40109,3.4
40111,0.4
40113,0.4
40115,1.4
40117,0.3
40119,4.3
40121,0.4
40123,0.8
40125,0.7
40127,0.5
40129,0
40131,1.4
40133,0.5
40135,0.8
40137,0.6
40139,3.3
40141,0.2
40143,3.4
40145,1.5
40147,2.2
40149,0
40151,1.1
40153,0.2
46003,0
46005,9.5
46007,0.4
46009,0.4
46011,3
46015,0.2
46017,0
46023,0.2
46027,2.8
46033,0.3
46035,0.7
46043,0
46047,1.5
46053,1.7
46055,0
46059,0.5
46061,0
46065,0
46067,0.2
46069,0
46071,0.4
46073,0
46075,0
46077,0.2
46079,1.7
46081,1
46083,1.1
46085,0.7
46087,0
46093,1.2
46095,0
46097,0.3
46099,2.1
46101,2.1
46103,1.4
46111,0.4
46102,0
46117,1.1
46121,1.8
46123,0.8
46125,0.2
46127,1.2
46135,0.2
48003,0.5
48009,0.1
48011,0
48017,0.8
48023,1.1
48033,0
48037,1
48045,1.5
48059,0.4
48063,0.4
48065,0.3
48067,0.5
48069,0.6
48075,0.5
48077,1.1
48079,0
48085,15.1
48087,0
48097,0.9
48101,0
48107,0.7
48111,1.9
48113,6.2
48115,0.1
48117,0.7
48119,0.5
48121,8.7
48125,0.4
48129,0.3
48133,0.6
48139,0.6
48143,1
48147,0.6
48151,0.3
48153,0.1
48155,0
48159,0
48165,0.5
48169,1.9
48179,0.8
48181,1.5
48183,1.3
48189,0.3
48191,0.2
48195,0
48197,0
48203,0.8
48205,1.4
48207,0.2
48211,0
48213,0.6
48219,0.4
48221,0.7
48223,0.7
48227,0.7
48231,1.2
48233,1
48237,0.1
48251,1.3
48253,0.3
48257,1.3
48263,0
48269,0
48275,1
48277,0.8
48279,0.5
48295,0.6
48303,2.1
48305,0.8
48315,0.7
48317,0
48335,0.4
48337,0
48341,6.8
48343,0.2
48345,0
48353,0.2
48357,0.2
48359,1.8
48363,0.8
48365,0
48367,0.5
48369,0.3
48375,5.5
48379,0.3
48381,1.9
48387,0
48393,0
48397,2.7
48401,0.5
48415,0.2
48417,0.2
48421,0
48423,1.7
48425,1
48429,0.3
48433,0
48437,0.2
48439,5.5
48441,2.1
48445,0
48447,0
48449,0.9
48459,0.3
48467,0.5
48483,0
48485,2.2
48487,0.9
48497,0.6
48499,0.7
48501,0
48503,0.2
56001,3.2
56005,0.6
56009,0.2
56011,0.6
56015,1
56019,0
56021,1.2
56027,1
56031,1.1
56045,0.8
16003,0.1
16009,1
16017,0.8
16021,1.4
16035,0.6
16049,0.4
16055,0.9
16057,2.3
16059,0.1
16061,1.4
16069,0.7
16079,0
16085,0.2
27005,0.6
27007,0.8
27009,1
27011,0
27019,2.7
27021,0.6
27023,2
27027,1.3
27029,0.4
27035,0.4
27041,0.3
27051,0
27057,0.6
27061,0.4
27067,0.9
27069,0.6
27071,0.3
27073,0.8
27077,0
27085,0.5
27087,0.5
27089,0.4
27093,0.3
27097,0.4
27107,0.3
27111,0.6
27113,1.1
27119,1
27121,0.5
27125,0
27129,0.6
27135,2.7
27141,1.2
27145,2
27149,2.3
27151,0.8
27153,0.6
27155,0.1
27159,0.4
27167,0
27171,1.1
27173,0.6
30001,0.6
30003,0.1
30005,0.1
30007,0
30009,0.2
30011,0
30013,0.7
30015,0.5
30017,0.2
30019,0.8
30021,0.2
30023,0.7
30025,1.7
30027,2.4
30029,0.7
30031,1.3
30033,0
30035,0.1
30037,0
30039,0
30041,0.3
30043,0
30045,0
30047,0.4
30049,0.7
30051,0
30053,0.6
30055,1.6
30057,0
30059,0.1
30061,0.8
30063,1.8
30065,0.9
30067,0.4
30069,5.5
30071,0.2
30073,0.1
30075,0
30077,0.3
30079,0.7
30081,0.5
30083,0.1
30085,0.5
30087,1
30089,0.4
30091,0.2
30093,0.7
30095,0.3
30097,0.2
30099,0.2
30101,0.4
30103,4.1
30105,0.3
30107,0.3
30109,0.7
30111,0.7
38001,2.5
38003,1
38005,0.1
38007,0
38009,0.1
38011,0
38013,0.5
38015,0.8
38017,2.8
38019,0
38021,0.1
38023,1.2
38025,1
38027,0
38029,1
38031,0.3
38033,0
38035,3.3
38037,1.2
38039,0
38041,0
38043,0.2
38045,0.1
38047,0.1
38049,0.3
38051,0.5
38053,0.3
38055,0.2
38057,0.4
38059,0.6
38061,0.4
38063,0
38065,2.2
38067,0.5
38069,0.2
38071,0.8
38073,1
38075,0.2
38077,0.3
38079,0.1
38081,0.2
38083,0
38085,0
38087,0
38089,1.5
38091,0
38093,0.5
38095,0.1
38097,0.6
38099,0.4
38101,1.8
38103,0.2
38105,1.1
41001,1
41049,1.1
41059,1.2
41061,2.5
41063,0.3
46013,3
46019,0.1
46021,0
46025,0.4
46029,0.5
46031,0
46037,0.1
46039,0
46041,0.3
46045,0
46049,0
46051,0.1
46057,0.2
46063,0
46089,0.7
46091,0
46105,0
46107,1.7
46109,0.1
46115,0.1
46119,0
46129,0
46137,0.6
53001,0.9
53003,1
53005,2.5
53013,2.8
53017,0.9
53019,0.9
53021,2.1
53023,3.1
53025,0.9
53043,0.9
53051,0.9
53063,2.7
53065,0.7
53071,1.7
53075,8.6
56033,0.6
1003,0.9
1005,0.4
1011,0.4
1013,0.3
1023,0.1
1025,0.4
1031,1.4
1035,0.4
1039,0.4
1041,1.3
1045,1.2
1053,0.4
1061,0.4
1067,0.4
1069,0.9
1097,1.9
1099,0.3
1109,2.2
1129,0.2
1131,0
12001,6.1
12003,0.6
12005,2.4
12007,0.6
12009,2.4
12013,0.1
12015,1.3
12017,1.7
12019,2.8
12021,1.2
12023,1
12027,0.3
12029,0.2
12031,4.6
12033,2.9
12035,2.6
12037,0.7
12039,0.2
12041,0.2
12043,0.7
12045,0.5
12047,0.1
12049,1
12051,0.8
12053,1.2
12055,1.4
12057,4
12059,0.9
12061,1.3
12063,0.4
12065,0.2
12067,0.3
12069,2
12071,1.6
12073,3.5
12075,0.8
12077,0.2
12079,0.9
12081,2
12083,1.4
12087,1.4
12089,1
12091,3
12093,1.2
12095,5.1
12097,2.7
12101,2.5
12103,3.4
12105,1.7
12107,0.6
12109,2.7
12113,2
12115,1.6
12117,4.5
12119,0.9
12121,0.1
12123,0.3
12125,0.6
12127,1.7
12129,0.5
12131,1
12133,1
13001,0.4
13003,0
13005,0.4
13007,3.7
13017,0.6
13019,1.1
13025,1
13027,0.4
13029,1.4
13037,0.5
13039,2
13049,0.7
13051,2.6
13061,1
13065,0
13069,0.7
13071,0.8
13075,0.7
13081,0.3
13087,0.2
13095,0.9
13099,0.5
13101,0
13127,1.3
13131,0.5
13155,0.4
13161,0.2
13173,0.2
13177,2.5
13179,2.4
13183,1.4
13185,1.8
13191,1.4
13201,0.2
13205,0.2
13229,0
13239,7.5
13243,0
13253,0.7
13259,3.2
13261,1.3
13267,0.2
13271,0
13273,3.1
13275,0.1
13277,1.3
13287,0.7
13299,1.1
13305,0.6
13307,0
13309,0
13315,0
13321,0.8
22001,0
22003,0.5
22005,1
22007,0
22009,0.7
22011,0.4
22019,1.4
22021,0.3
22023,0.5
22025,0.1
22029,0.1
22033,3.2
22037,0.3
22039,0.5
22043,0.1
22045,2.7
22047,0
22051,4.1
22053,0.4
22055,1.8
22057,0.6
22059,1.2
22063,0.6
22069,0.7
22071,2.8
22075,3.8
22077,0.2
22079,1.2
22081,0
22085,0.3
22087,2.5
22089,1
22091,0.2
22093,0.1
22095,1.1
22097,0
22099,0.9
22101,1.4
22103,1.5
22105,0.7
22107,0.1
22109,1
22113,2
22115,2.2
22117,0
22121,0
22125,0.6
22127,0
28001,0.5
28005,0.1
28021,1.1
28023,0
28029,0.3
28031,0
28035,0.8
28037,0
28039,0.4
28041,0
28045,0.5
28047,2.8
28059,2.4
28061,0
28063,0.5
28065,0.1
28067,0.3
28073,1.2
28077,0.2
28085,0.4
28091,0.5
28109,0.2
28111,0.1
28113,0.3
28127,0.5
28129,0.7
28131,0
28147,0.1
28153,0.1
28157,0.1
1007,0.1
1033,0.5
1057,0.5
1059,0.3
1063,0
1065,0.2
1075,0.1
1077,0.7
1079,0.2
1091,0
1093,0.1
1105,0
1107,0.1
1119,2.1
1125,1.6
1127,0.4
1133,0.2
5001,0
5003,0.1
5005,0.4
5009,0.4
5011,0
5013,0.3
5015,2.3
5017,0.5
5019,0.7
5021,0
5023,0.6
5025,0
5027,1
5029,0.2
5031,1.4
5035,0.7
5037,0
5039,0.3
5041,0.4
5043,0.3
5045,1.4
5049,0.1
5051,0.5
5053,0.1
5055,0.3
5059,0.4
5063,0.7
5065,0
5067,0
5069,1
5071,2.1
5073,0.3
5075,0.1
5077,0.1
5079,0
5085,1
5089,0.8
5093,0.6
5095,0.4
5097,0.4
5099,0
5101,1.4
5103,0
5105,0
5107,0
5109,0.4
5111,0
5115,1
5117,0.2
5119,2.2
5121,0.4
5123,0.7
5125,1.3
5129,0.6
5135,0
5137,0.5
5139,0.6
5141,0.3
5145,0.7
5147,0.9
5149,0.9
17003,0
17055,0.4
17059,0.1
17065,0.1
17069,0.1
17077,3.4
17081,1.1
17087,0.3
17127,0.2
17133,1.2
17145,0.6
17151,0.5
17153,0.1
17157,0.5
17165,0.9
17181,0.3
17189,0.3
17193,0.8
17199,1.1
18051,0.4
18129,0.3
18163,1.4
18173,2.6
21007,0.2
21033,0
21035,1.3
21039,0.7
21047,1.9
21055,0
21075,0.1
21083,0.7
21101,0.4
21105,0.7
21107,0.6
21139,0.1
21143,0.5
21145,0.9
21149,0.2
21157,0.1
21219,0
21221,0.4
21225,0.4
21233,0.1
22013,0
22015,1.8
22027,0.1
22035,0
22041,0
22049,0.5
22061,1.6
22065,0
22067,0.5
22073,1
22083,0.3
22111,0.1
22119,0.4
22123,0
28003,0.2
28007,0.2
28009,0.1
28011,0.8
28013,0.2
28015,0
28017,0.1
28019,0.1
28025,0.2
28027,0.4
28033,1.4
28043,0.1
28049,0.8
28051,0
28053,0.1
28055,0
28057,0
28069,0
28071,2.1
28075,0.6
28079,0.5
28081,0.9
28083,0.6
28087,1
28089,2.5
28093,0
28095,0
28097,0.2
28099,0.5
28101,0.5
28103,0
28105,3.2
28107,0
28115,0
28117,2.1
28119,0.2
28121,1.1
28123,0.2
28125,0
28133,0
28135,1.4
28137,0.2
28139,0.3
28141,0
28143,1.4
28145,0.3
28149,0.7
28151,0.5
28155,0.3
28159,0
28161,0.1
28163,0.4
29015,0
29017,0.3
29023,0.8
29029,0.3
29031,1.7
29035,0
29043,0.5
29055,0.2
29059,0.5
29065,0.2
29067,0
29069,0.5
29077,2
29085,0.2
29091,0.6
29093,0.3
29099,0.8
29105,0.3
29123,0.5
29125,1
29131,0.4
29133,0.1
29143,0
29149,0.5
29153,0.5
29155,0
29157,1
29161,3.6
29167,0.3
29169,2.9
29179,0.5
29181,0.6
29186,0.5
29187,0.5
29201,0.4
29203,0
29207,0
29209,0.3
29213,1
29215,0.7
29221,0.4
29223,0.2
29225,0.5
29229,0.4
47005,0
47017,0.4
47023,0.4
47033,0.3
47039,0
47043,0.5
47045,0.9
47047,0.6
47053,0.3
47069,0.7
47071,0.4
47075,0
47077,0.2
47079,0.3
47081,0.4
47083,0.3
47085,0.7
47095,0.2
47097,0.2
47099,0.6
47101,1.3
47109,0.2
47113,1
47125,2.5
47131,0.4
47135,2.2
47157,2.6
47161,1.1
47167,0.6
47181,0.7
47183,0.3
17001,0.8
17005,0.3
17007,1.1
17009,0
17011,0.8
17013,0.8
17015,0.7
17017,0.3
17019,10.7
17021,0.6
17023,0.5
17025,0.3
17027,0.5
17029,1.2
17031,7.2
17033,0.3
17035,0.4
17037,2.2
17039,0.1
17041,0.7
17043,11.8
17045,0.1
17047,0.2
17049,0.5
17051,0.6
17053,0.6
17057,0.1
17061,0.2
17063,0.8
17067,0.3
17071,0.5
17073,0.4
17075,0.3
17079,0
17083,0.3
17085,0.6
17089,4
17091,0.8
17093,3.1
17095,1
17097,7.6
17099,0.7
17101,0.5
17103,0.6
17105,0.8
17107,0.7
17109,2.1
17111,2.7
17113,5
17115,1
17117,0.4
17119,1
17121,0.6
17123,0.3
17125,0.1
17129,0.3
17131,0.3
17135,0.2
17137,0.6
17139,0.1
17141,0.5
17143,4
17147,0.5
17149,0.3
17155,0.8
17159,0.5
17161,2.5
17163,1.4
17167,2
17169,0
17171,0.3
17173,0.3
17175,0.9
17177,0.8
17179,1
17183,0.9
17185,0.9
17187,2.4
17191,0.2
17195,0.6
17197,5.4
17201,2.6
17203,0.5
18007,0.1
18045,0.4
18083,0.9
18089,1.4
18111,0
18121,0
18125,0.8
18153,0.5
18165,0.2
18167,1.9
18171,0.2
19005,0.5
19007,0.4
19011,0.3
19013,2.6
19017,1.2
19019,0.2
19023,0.3
19031,0.3
19033,1.2
19037,0.1
19043,0.4
19045,0.6
19051,0.6
19055,0.3
19057,0.7
19061,1.5
19065,0.2
19067,1.6
19069,0
19075,0.2
19083,0.1
19087,2.6
19089,0.4
19095,0.4
19097,1.3
19099,0.4
19101,4.3
19103,6.2
19105,0.9
19107,0.3
19111,0.6
19113,2.3
19115,3.3
19117,0
19123,1.7
19125,1.1
19127,3.7
19131,0.4
19135,0.1
19139,0.8
19153,4.6
19157,2.1
19163,2.7
19169,8
19171,0.4
19177,0.5
19179,1.8
19181,1
19183,0.6
19185,0
19191,0.6
19195,0.3
27039,0.9
27045,0.5
27047,2.4
27049,0.8
27055,0.4
27099,4.3
27109,5.8
27131,2.1
27147,1.2
27157,0.4
27161,0.6
27169,2.6
29001,2.6
29007,0.2
29019,4.5
29027,1.1
29033,0.4
29041,0
29045,1
29051,1.5
29053,0.5
29071,0.5
29073,0.3
29079,0.6
29089,0.3
29103,0.6
29111,0.2
29113,0.3
29115,0.4
29117,0.7
29121,0.6
29127,0.7
29129,0.4
29135,0
29137,0.5
29139,0.3
29141,0.8
29151,0
29159,0.6
29163,0.4
29171,0.1
29173,0.5
29175,0.6
29183,2.5
29189,4.3
29195,1.8
29197,0.2
29199,0
29205,0.2
29211,0.2
29219,0.5
29510,3.3
55001,0.6
55009,3.2
55011,0
55015,2.4
55021,0.7
55023,0.5
55025,5.9
55027,0.6
55039,1.2
55043,0.9
55045,0.6
55047,0.7
55049,0.7
55053,0.4
55055,0.6
55057,0.5
55059,1.5
55061,0.3
55063,4.3
55065,0.5
55071,2.7
55077,0.5
55079,4.3
55081,0.9
55087,3.4
55089,2.1
55091,0.4
55097,2.9
55101,1.3
55103,0.7
55105,1.2
55111,0.6
55117,5.7
55121,0.4
55123,0.4
55127,0.9
55131,1.3
55133,3.5
55135,0.4
55137,0.3
55139,2.8
55141,2
1001,1
1009,0.4
1015,0.8
1017,1.1
1019,0.2
1021,0.4
1027,0.1
1029,0
1037,0
1043,0.3
1047,0.5
1049,0.3
1051,0.5
1055,0.7
1071,0.5
1073,1.5
1081,4.1
1083,1.4
1085,0
1087,0.1
1089,2.7
1095,0.6
1101,2.8
1103,0.6
1111,0.2
1113,0.9
1115,0.8
1117,2
1121,0.6
1123,0.3
13015,0.8
13035,0.4
13045,0.8
13047,1.3
13053,3
13055,0.1
13057,1.8
13063,5.1
13067,5.3
13077,2
13079,0.1
13083,1.1
13085,0.5
13089,6
13097,1.6
13111,0.4
13113,4.5
13115,1.2
13117,12.9
13121,7
13123,0.4
13129,1
13135,11.6
13143,0.4
13145,1
13149,0.6
13151,3.2
13171,0.4
13187,0.9
13193,0.3
13197,1.5
13199,0.2
13207,0.9
13213,0.3
13215,2.5
13223,0.9
13227,0.4
13231,0.5
13233,0.3
13247,2.1
13249,0
13255,0.9
13263,0.5
13269,1.8
13285,2.1
13291,0.3
13293,1.2
13295,0.7
13313,1.4
18025,0
18037,0.7
18043,1
18061,0.4
18123,0.5
18147,0.3
21001,0.5
21003,0.6
21005,0.3
21009,0.3
21017,0.8
21021,0.8
21027,0.3
21029,0.7
21031,0.3
21045,0.1
21049,0.6
21053,0.2
21057,0.7
21059,1.7
21061,0
21065,0
21067,3.7
21073,1.8
21079,0.2
21085,0
21087,0
21091,0.5
21093,2.4
21099,0.4
21109,0
21111,2.9
21113,1.4
21123,0.3
21125,0.3
21137,0.2
21141,0.2
21147,0.4
21151,1.1
21155,0.3
21163,0.6
21167,0.5
21169,0.3
21171,0.3
21173,0.2
21177,0.8
21179,0.5
21181,0
21183,0.2
21199,0.8
21203,0.1
21207,0.7
21209,1.1
21211,1
21213,0.6
21215,0.3
21217,1
21227,4.3
21229,0.8
21231,0.1
21235,0.2
21239,0.4
37039,0.7
47001,1.3
47003,0.2
47007,0
47009,0.8
47011,1.2
47013,0.4
47015,0
47021,0.4
47027,0.1
47031,1
